title,runtime,imdb_score,imdb_votes,user_review_count,critic_review_count,critic_overall_score,critic_positive_score,critic_mixed_score,critic_negative_score,user_overall_score,user_positive_score,user_mixed_score,user_negative_score,#_of_nominations,#_of_wins
Gattaca,106,7.8,297237,812,180,64,11,8,1,8.7,371,21,10,1,0
Ghost,127,7.1,211948,353,98,52,5,10,2,8.4,167,22,14,5,2
Ghost World,111,7.3,119606,532,145,88,31,0,0,8.1,154,13,10,1,0
Ghostbusters,105,7.8,403004,672,274,71,6,2,0,8.3,412,36,25,2,0
Giant,201,7.6,38075,195,117,84,13,2,0,6.9,5,2,1,10,1
Gigi,115,6.7,22571,149,77,82,11,2,0,6.8,5,2,1,9,9
Girl with a Pearl Earring,100,6.9,77481,320,140,72,28,9,0,7.1,35,5,5,3,0
"Girl, Interrupted",127,7.3,179853,451,63,51,14,14,4,7.5,85,25,6,1,1
Glengarry Glen Ross,100,7.7,103346,437,122,82,26,4,0,8.1,92,9,3,1,0
Gloria,123,7.1,9873,67,39,68,10,2,0,0,1,0,0,1,0
Glory,122,7.8,132847,488,69,78,19,3,0,7.8,12,1,0,5,3
Gods and Monsters,105,7.4,30723,245,68,74,28,3,1,7.6,24,8,0,3,1
Goldfinger,110,7.7,186226,543,137,87,10,2,0,8.3,102,13,1,1,1
Gone Baby Gone,114,7.6,268363,629,266,72,31,3,0,7.7,228,33,13,1,0
Gone with the Wind,238,8.2,309040,961,192,97,17,1,0,8.3,187,20,18,13,8
"Good Night, and Good Luck.",93,7.4,97333,549,350,80,35,5,1,7.2,131,35,24,6,0
Good Will Hunting,126,8.3,932978,996,158,70,23,5,0,8.7,549,29,12,9,2
"Goodbye, Mr. Chips",155,6.8,3446,52,11,61,1,6,0,0,0,0,0,9,1
Gosford Park,137,7.2,86362,686,130,90,32,1,1,7.3,124,17,20,7,1
Grand Prix,176,7.2,9273,141,48,72,5,3,0,0,3,0,0,3,3
Great Expectations,118,7.8,24086,128,66,90,15,0,0,8.3,4,0,0,5,2
Green Card,107,6.3,24244,50,36,58,10,5,2,7.1,25,7,8,1,0
"Greystoke: The Legend of Tarzan, Lord of the Apes",143,6.4,19914,90,44,62,6,5,0,0,0,2,0,3,0
Guess Who's Coming to Dinner,108,7.8,44565,437,75,63,3,2,1,7.3,15,2,1,10,2
